whole_word,whole_word_furigana,whole_word_romaji,whole_word_translation,jlpt_level,character,kanji_use_count,kanji_stroke_count,kanji_translation,kun_readings,kun_romaji,on_readings,on_romaji,radical_basis,radical_meaning,kana_romaji,kana_stroke_count,char_type
現像,げんぞう,genzou,developing (film),N1,現,19.0,11.0,"present, existing, actual","あらわ.れる, あらわ.す, うつつ, うつ.つ","arawa.reru, arawa.su, utsutsu, utsu.tsu",ゲン,gen,jade,jade,,,kanji
現像,げんぞう,genzou,developing (film),N1,像,5.0,14.0,"statue, picture, image, figure, portrait",,,ゾウ,zou,人,man,,,kanji
原則,げんそく,gensoku,"principle, general rule",N1,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原則,げんそく,gensoku,"principle, general rule",N1,則,4.0,9.0,"rule, law, follow, based on, model after","のっと.る, のり, すなわち","notto.ru, nori, sunawachi",ソク,soku,刀,knife,,,kanji
見地,けんち,kenchi,point of view,N1,見,50.0,7.0,"see, hopes, chances, idea, opinion, look at, visible","み.る, み.える, み.せる","mi.ru, mi.eru, mi.seru",ケン,ken,見,see,,,kanji
見地,けんち,kenchi,point of view,N1,地,49.0,6.0,"ground, earth",,,"チ, ジ","chi, ji",土,earth,,,kanji
現地,げんち,genchi,"actual place, local",N1,現,19.0,11.0,"present, existing, actual","あらわ.れる, あらわ.す, うつつ, うつ.つ","arawa.reru, arawa.su, utsutsu, utsu.tsu",ゲン,gen,jade,jade,,,kanji
現地,げんち,genchi,"actual place, local",N1,地,49.0,6.0,"ground, earth",,,"チ, ジ","chi, ji",土,earth,,,kanji
限定,げんてい,gentei,"limit, restriction",N1,限,11.0,9.0,"limit, restrict, to best of ability","かぎ.る, かぎ.り, -かぎ.り","kagi.ru, kagi.ri, -kagi.ri",ゲン,gen,dam,mound,,,kanji
限定,げんてい,gentei,"limit, restriction",N1,定,37.0,8.0,"determine, fix, establish, decide","さだ.める, さだ.まる, さだ.か","sada.meru, sada.maru, sada.ka","テイ, ジョウ","tei, jou",宀,roof,,,kanji
原点,げんてん,genten,"origin (coordinates, starting point)",N1,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原点,げんてん,genten,"origin (coordinates, starting point)",N1,点,27.0,9.0,"spot, point, mark, speck, decimal point","つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち","tsu.keru, tsu.ku, ta.teru, sa.su, tobo.su, tomo.su, bochi",テン,ten,火,fire,,,kanji
原典,げんてん,genten,"original, source",N1,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原典,げんてん,genten,"original, source",N1,典,5.0,8.0,"code, ceremony, law, rule","ふみ, のり","fumi, nori","テン, デン","ten, den",八,eight,,,kanji
原爆,げんばく,genbaku,atomic bomb,N1,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原爆,げんばく,genbaku,atomic bomb,N1,爆,4.0,19.0,"bomb, burst open, pop, split",は.ぜる,ha.zeru,バク,baku,火,fire,,,kanji
原文,げんぶん,genbun,"the text, original",N1,原,20.0,10.0,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",はら,hara,ゲン,gen,厂,cliff,,,kanji
原文,げんぶん,genbun,"the text, original",N1,文,25.0,4.0,"sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)","ふみ, あや","fumi, aya","ブン, モン","bun, mon",文,script,,,kanji
厳密,げんみつ,genmitsu,"strict, close",N1,厳,4.0,17.0,"stern, strictness, severity, rigidity","おごそ.か, きび.しい, いか.めしい, いつくし","ogoso.ka, kibi.shii, ika.meshii, itsukushi","ゲン, ゴン","gen, gon",厂,cliff,,,kanji
厳密,げんみつ,genmitsu,"strict, close",N1,密,9.0,11.0,"secrecy, density (pop), minuteness, carefulness",ひそ.か,hiso.ka,ミツ,mitsu,宀,roof,,,kanji
賢明,けんめい,kenmei,"wisdom, intelligence, prudence",N1,賢,2.0,16.0,"intelligent, wise, wisdom, cleverness",かしこ.い,kashiko.i,ケン,ken,貝,shell,,,kanji
