word,furigana,translation,jlpt_level,romaji,num_characters,stroke_count
現像,げんぞう,developing (film),N1,genzou,2,25
原則,げんそく,"principle, general rule",N1,gensoku,2,19
見地,けんち,point of view,N1,kenchi,2,13
現地,げんち,"actual place, local",N1,genchi,2,17
限定,げんてい,"limit, restriction",N1,gentei,2,17
原点,げんてん,"origin (coordinates, starting point)",N1,genten,2,19
原典,げんてん,"original, source",N1,genten,2,18
原爆,げんばく,atomic bomb,N1,genbaku,2,29
原文,げんぶん,"the text, original",N1,genbun,2,14
厳密,げんみつ,"strict, close",N1,genmitsu,2,28
賢明,けんめい,"wisdom, intelligence, prudence",N1,kenmei,2,24
倹約,けんやく,"thrift, economy, frugality",N1,kenyaku,2,19
原油,げんゆ,crude oil,N1,genyu,2,18
兼用,けんよう,"multi-use, combined use",N1,kenyou,2,15
権力,けんりょく,"(political) power, authority, influence",N1,kenryoku,2,17
言論,げんろん,"discussion, speech",N1,genron,2,22
故～,こ～,"deceased, late",N1,ko～,2,9
語彙,ごい,"vocabulary, glossary",N1,goi,2,27
恋する,こいする,"to fall in love with, to love",N1,koisuru,3,13
甲,こう,1st in rank; shell,N1,kou,1,5
～光,～こう,light,N1,～kou,2,6
好意,こうい,"good will, favor, courtesy",N1,koui,2,19
行為,こうい,"act, deed, conduct",N1,koui,2,15
合意,ごうい,"agreement, consent, mutual understanding",N1,goui,2,19
工学,こうがく,engineering,N1,kougaku,2,11
抗議,こうぎ,"protest, objection",N1,kougi,2,27
合議,ごうぎ,"consultation, conference",N1,gougi,2,26
皇居,こうきょ,Imperial Palace,N1,koukyo,2,17
好況,こうきょう,"prosperous conditions, healthy economy",N1,koukyou,2,14
鉱業,こうぎょう,mining industry,N1,kougyou,2,26
興業,こうぎょう,starting a business; industry,N1,kougyou,2,29
高原,こうげん,"tableland, plateau",N1,kougen,2,20
交互,こうご,"mutual, reciprocal, alternate",N1,kougo,2,10
煌々と,こうこうと,brightly,N1,koukouto,3,15
考古学,こうこがく,archeology,N1,koukogaku,3,19
工作,こうさく,"handicraft, maneuvering",N1,kousaku,2,10
耕作,こうさく,"cultivation, farming",N1,kousaku,2,17
鉱山,こうざん,mine,N1,kouzan,2,16
講習,こうしゅう,"short course, training",N1,koushuu,2,28
口述,こうじゅつ,verbal statement,N1,koujutsu,2,11
