kana,romaji,type,stroke_count
あ,a,hiragana,3
い,i,hiragana,2
う,u,hiragana,2
え,e,hiragana,2
お,o,hiragana,3
か,ka,hiragana,3
き,ki,hiragana,3
く,ku,hiragana,1
け,ke,hiragana,3
こ,ko,hiragana,2
が,ga,hiragana,5
ぎ,gi,hiragana,5
ぐ,gu,hiragana,3
げ,ge,hiragana,5
ご,go,hiragana,4
さ,sa,hiragana,2
し,shi,hiragana,1
す,su,hiragana,2
せ,se,hiragana,3
そ,so,hiragana,1
ざ,za,hiragana,4
じ,ji,hiragana,3
ず,zu,hiragana,4
ぜ,ze,hiragana,5
ぞ,zo,hiragana,3
た,ta,hiragana,4
ち,chi,hiragana,2
つ,tsu,hiragana,1
て,te,hiragana,1
と,to,hiragana,2
だ,da,hiragana,6
ぢ,zi,hiragana,4
づ,zu,hiragana,3
で,de,hiragana,3
ど,do,hiragana,4
な,na,hiragana,4
に,ni,hiragana,3
ぬ,nu,hiragana,2
ね,ne,hiragana,2
の,no,hiragana,1
は,ha,hiragana,3
ひ,hi,hiragana,1
ふ,fu,hiragana,4
へ,he,hiragana,1
ほ,ho,hiragana,4
ば,ba,hiragana,5
び,bi,hiragana,3
ぶ,bu,hiragana,6
べ,be,hiragana,3
ぼ,bo,hiragana,6
ぱ,pa,hiragana,4
ぴ,pi,hiragana,2
ぷ,pu,hiragana,5
ぺ,pe,hiragana,2
ぽ,po,hiragana,5
ま,ma,hiragana,3
み,mi,hiragana,2
む,mu,hiragana,3
め,me,hiragana,2
も,mo,hiragana,3
や,ya,hiragana,3
ゆ,yu,hiragana,2
よ,yo,hiragana,2
ら,ra,hiragana,2
り,ri,hiragana,2
る,ru,hiragana,1
れ,re,hiragana,2
ろ,ro,hiragana,1
わ,wa,hiragana,2
ゐ,wi,hiragana,1
ゑ,we,hiragana,1
を,wo,hiragana,3
ん,n,hiragana,1
きゃ,kya,hiragana,6
きゅ,kyu,hiragana,5
きょ,kyo,hiragana,5
ぎゃ,gya,hiragana,8
ぎゅ,gyu,hiragana,7
ぎょ,gyo,hiragana,7
しゃ,sha,hiragana,4
しゅ,shu,hiragana,3
しょ,sho,hiragana,3
じゃ,ja,hiragana,6
じゅ,ju,hiragana,5
じょ,jo,hiragana,5
ちゃ,cha,hiragana,5
ちゅ,chu,hiragana,4
ちょ,cho,hiragana,4
ぢゃ,zya,hiragana,7
ぢゅ,zyu,hiragana,6
ぢょ,zyo,hiragana,6
にゃ,nya,hiragana,6
にゅ,nyu,hiragana,5
にょ,nyo,hiragana,5
ひゃ,hya,hiragana,4
ひゅ,hyu,hiragana,3
ひょ,hyo,hiragana,3
びゃ,bya,hiragana,6
びゅ,byu,hiragana,5
びょ,byo,hiragana,5
ぴゃ,pya,hiragana,5
ぴゅ,pyu,hiragana,4
ぴょ,pyo,hiragana,4
みゃ,mya,hiragana,5
みゅ,myu,hiragana,4
みょ,myo,hiragana,4
りゃ,rya,hiragana,5
りゅ,ryu,hiragana,4
りょ,ryo,hiragana,4
ア,a,katakana,2
イ,i,katakana,2
ウ,u,katakana,3
エ,e,katakana,3
オ,o,katakana,3
カ,ka,katakana,2
キ,ki,katakana,3
ク,ku,katakana,2
ケ,ke,katakana,3
コ,ko,katakana,2
ガ,ga,katakana,4
ギ,gi,katakana,5
グ,gu,katakana,4
ゲ,ge,katakana,5
ゴ,go,katakana,4
サ,sa,katakana,3
シ,shi,katakana,3
ス,su,katakana,2
セ,se,katakana,2
ソ,so,katakana,2
ザ,za,katakana,5
ジ,ji,katakana,5
ズ,zu,katakana,4
ゼ,ze,katakana,4
ゾ,zo,katakana,4
タ,ta,katakana,3
チ,chi,katakana,3
ツ,tsu,katakana,3
テ,te,katakana,3
ト,to,katakana,2
ダ,da,katakana,5
ヂ,zi,katakana,5
ヅ,zu,katakana,5
デ,de,katakana,5
ド,do,katakana,4
ナ,na,katakana,2
ニ,ni,katakana,2
ヌ,nu,katakana,2
ネ,ne,katakana,4
ノ,no,katakana,1
ハ,ha,katakana,2
ヒ,hi,katakana,2
フ,fu,katakana,1
ヘ,he,katakana,1
ホ,ho,katakana,4
バ,ba,katakana,4
ビ,bi,katakana,4
ブ,bu,katakana,3
ベ,be,katakana,3
ボ,bo,katakana,6
パ,pa,katakana,3
ピ,pi,katakana,3
プ,pu,katakana,2
ペ,pe,katakana,2
ポ,po,katakana,5
マ,ma,katakana,2
ミ,mi,katakana,3
ム,mu,katakana,2
メ,me,katakana,2
モ,mo,katakana,3
ヤ,ya,katakana,2
ユ,yu,katakana,2
ヨ,yo,katakana,3
ラ,ra,katakana,2
リ,ri,katakana,2
ル,ru,katakana,2
レ,re,katakana,1
ロ,ro,katakana,3
ワ,wa,katakana,2
ヰ,wi,katakana,3
ヱ,we,katakana,3
ヲ,wo,katakana,3
ン,n,katakana,2
キャ,kya,katakana,5
キュ,kyu,katakana,5
キョ,kyo,katakana,6
ギャ,gya,katakana,7
ギュ,gyu,katakana,7
ギョ,gyo,katakana,8
シャ,sha,katakana,5
シュ,shu,katakana,5
ショ,sho,katakana,6
ジャ,ja,katakana,7
ジュ,ju,katakana,7
ジョ,jo,katakana,8
チャ,cha,katakana,5
チュ,chu,katakana,5
チョ,cho,katakana,6
ヂャ,zya,katakana,7
ヂュ,zyu,katakana,7
ヂョ,zyo,katakana,8
ニャ,nya,katakana,4
ニュ,nyu,katakana,4
ニョ,nyo,katakana,5
ヒャ,hya,katakana,4
ヒュ,hyu,katakana,4
ヒョ,hyo,katakana,5
ビャ,bya,katakana,6
ビュ,byu,katakana,6
ビョ,byo,katakana,7
ピャ,pya,katakana,5
ピュ,pyu,katakana,5
ピョ,pyo,katakana,6
ミャ,mya,katakana,5
ミュ,myu,katakana,5
ミョ,myo,katakana,6
リャ,rya,katakana,4
リュ,ryu,katakana,4
リョ,ryo,katakana,5
