kanji,count,strokes,kun_readings,on_readings
現,19,11,"['あらわ.れる', 'あらわ.す', 'うつつ', 'うつ.つ']",['ゲン']
像,5,14,,['ゾウ']
原,20,10,['はら'],['ゲン']
則,4,9,"['のっと.る', 'のり', 'すなわち']",['ソク']
見,50,7,"['み.る', 'み.える', 'み.せる']",['ケン']
地,49,6,,"['チ', 'ジ']"
限,11,9,"['かぎ.る', 'かぎ.り', '-かぎ.り']",['ゲン']
定,37,8,"['さだ.める', 'さだ.まる', 'さだ.か']","['テイ', 'ジョウ']"
点,27,9,"['つ.ける', 'つ.く', 'た.てる', 'さ.す', 'とぼ.す', 'とも.す', 'ぼち']",['テン']
典,5,8,"['ふみ', 'のり']","['テン', 'デン']"
爆,4,19,['は.ぜる'],['バク']
文,25,4,"['ふみ', 'あや']","['ブン', 'モン']"
厳,4,17,"['おごそ.か', 'きび.しい', 'いか.めしい', 'いつくし']","['ゲン', 'ゴン']"
密,9,11,['ひそ.か'],['ミツ']
賢,2,16,['かしこ.い'],['ケン']
明,28,8,"['あ.かり', 'あか.るい', 'あか.るむ', 'あか.らむ', 'あき.らか', 'あ.ける', '-あ.け', 'あ.く', 'あ.くる', 'あ.かす']","['メイ', 'ミョウ', 'ミン']"
倹,1,10,"['つま.しい', 'つづまやか']",['ケン']
約,10,9,"['つづ.まる', 'つづ.める', 'つづま.やか']",['ヤク']
油,8,8,['あぶら'],"['ユ', 'ユウ']"
兼,4,10,"['か.ねる', '-か.ねる']",['ケン']
用,34,5,['もち.いる'],['ヨウ']
権,8,15,"['おもり', 'かり', 'はか.る']","['ケン', 'ゴン']"
力,31,2,['ちから'],"['リョク', 'リキ', 'リイ']"
言,23,7,"['い.う', 'こと']","['ゲン', 'ゴン']"
論,20,15,['あげつら.う'],['ロン']
故,7,9,"['ゆえ', 'ふる.い', 'もと']",['コ']
語,21,14,"['かた.る', 'かた.らう']",['ゴ']
彙,1,13,['はりねずみ'],['イ']
恋,6,10,"['こ.う', 'こい', 'こい.しい']",['レン']
甲,2,5,['きのえ'],"['コウ', 'カン']"
光,11,6,"['ひか.る', 'ひかり']",['コウ']
好,18,6,"['この.む', 'す.く', 'よ.い', 'い.い']",['コウ']
意,27,13,,['イ']
行,46,6,"['い.く', 'ゆ.く', '-ゆ.き', '-ゆき', '-い.き', '-いき', 'おこな.う', 'おこ.なう']","['コウ', 'ギョウ', 'アン']"
為,7,9,"['ため', 'な.る', 'な.す', 'す.る', 'たり', 'つく.る', 'なり']",['イ']
合,55,6,"['あ.う', '-あ.う', 'あ.い', 'あい-', '-あ.い', '-あい', 'あ.わす', 'あ.わせる', '-あ.わせる']","['ゴウ', 'ガッ', 'カッ']"
工,14,3,,"['コウ', 'ク', 'グ']"
学,54,8,['まな.ぶ'],['ガク']
抗,5,7,['あらが.う'],['コウ']
議,22,20,,['ギ']
皇,2,9,,"['コウ', 'オウ']"
居,11,8,"['い.る', '-い', 'お.る']","['キョ', 'コ']"
況,3,8,"['まし.て', 'いわ.んや', 'おもむき']",['キョウ']
鉱,4,13,['あらがね'],['コウ']
業,26,13,['わざ'],"['ギョウ', 'ゴウ']"
興,8,16,"['おこ.る', 'おこ.す']","['コウ', 'キョウ']"
高,20,10,"['たか.い', 'たか', '-だか', 'たか.まる', 'たか.める']",['コウ']
交,22,6,"['まじ.わる', 'まじ.える', 'ま.じる', 'まじ.る', 'ま.ざる', 'ま.ぜる', '-か.う', 'か.わす', 'かわ.す', 'こもごも']",['コウ']
互,4,4,"['たが.い', 'かたみ.に']",['ゴ']
煌,1,13,"['きらめ.く', 'きら.めく', 'かがや.く']",['コウ']
考,7,6,"['かんが.える', 'かんが.え']",['コウ']
古,8,5,"['ふる.い', 'ふる-', '-ふる.す']",['コ']
作,29,7,"['つく.る', 'つく.り', '-づく.り']","['サク', 'サ']"
耕,4,10,['たがや.す'],['コウ']
山,10,3,['やま'],"['サン', 'セン']"
講,8,17,,['コウ']
習,14,11,"['なら.う', 'なら.い']","['シュウ', 'ジュ']"
口,22,3,['くち'],"['コウ', 'ク']"
述,4,8,['の.べる'],['ジュツ']
控,3,11,"['ひか.える', 'ひか.え']",['コウ']
除,9,10,"['のぞ.く', '-よ.け']","['ジョ', 'ジ']"
渉,2,11,['わた.る'],['ショウ']
尚,1,8,['なお'],['ショウ']
向,14,6,"['む.く', 'む.い', '-む.き', 'む.ける', '-む.け', 'む.かう', 'む.かい', 'む.こう', 'む.こう-', 'むこ', 'むか.い']",['コウ']
上,54,3,"['うえ', '-うえ', 'うわ-', 'かみ', 'あ.げる', '-あ.げる', 'あ.がる', '-あ.がる', 'あ.がり', '-あ.がり', 'のぼ.る', 'のぼ.り', 'のぼ.せる', 'のぼ.す', 'たてまつ.る']","['ジョウ', 'ショウ', 'シャン']"
進,17,11,"['すす.む', 'すす.める']",['シン']
香,3,9,"['か', 'かお.り', 'かお.る']","['コウ', 'キョウ']"
辛,7,7,"['から.い', 'つら.い', '-づら.い', 'かのと']",['シン']
料,16,10,,['リョウ']
降,7,10,"['お.りる', 'お.ろす', 'ふ.る', 'ふ.り', 'くだ.る', 'くだ.す']","['コウ', 'ゴ']"
水,32,4,"['みず', 'みず-']",['スイ']
洪,1,9,,['コウ']
成,20,6,"['な.る', 'な.す', '-な.す']","['セイ', 'ジョウ']"
公,20,4,['おおやけ'],"['コウ', 'ク']"
然,14,12,"['しか', 'しか.り', 'しか.し', 'さ']","['ゼン', 'ネン']"
